Latitude,Longitude,OBJECTID,PONTO_RECOLHA_FREGUESIA,PONTO_RECOLHA_LOCAL,CONTENTOR_RESiDUO,CONTENTOR_TIPO,CONTENTOR_CAPACIDADE,CONTENTOR_QT,CONTENTOR_TOTAL_LITROS
-9.143308809,38.70807879,355,Misericordia,15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataide),Lixos,CV0090,90,1,90
-9.143308809,38.70807879,356,Misericordia,15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataide),Lixos,CV0240,240,7,1680
-9.143308809,38.70807879,357,Misericordia,15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataide),Lixos,CV0090,90,1,90
-9.143308809,38.70807879,358,Misericordia,15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataide),Papel e Cartao,CV0240,240,6,1440
-9.143308809,38.70807879,359,Misericordia,15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataide),Papel e Cartao,CV0090,90,1,90
-9.143377778,38.70807819,364,Misericordia,15806: R do Alecrim (Impar (27->53)(->): R Ataide - R Ferragial),Lixos,CV0240,240,1,240
-9.143377778,38.70807819,365,Misericordia,15806: R do Alecrim (Impar (27->53)(->): R Ataide - R Ferragial),Lixos,CV0140,140,6,840
-9.143377778,38.70807819,366,Misericordia,15806: R do Alecrim (Impar (27->53)(->): R Ataide - R Ferragial),Lixos,CV0120,120,1,120
-9.143377778,38.70807819,367,Misericordia,15806: R do Alecrim (Impar (27->53)(->): R Ataide - R Ferragial),Lixos,CV0090,90,2,180
-9.143377778,38.70807819,368,Misericordia,15806: R do Alecrim (Impar (27->53)(->): R Ataide - R Ferragial),Lixos,CV0240,240,1,240
-9.143377778,38.70807819,369,Misericordia,15806: R do Alecrim (Impar (27->53)(->): R Ataide - R Ferragial),Lixos,CV0140,140,6,840
-9.143377778,38.70807819,370,Misericordia,15806: R do Alecrim (Impar (27->53)(->): R Ataide - R Ferragial),Lixos,CV0120,120,1,120
-9.143377778,38.70807819,360,Misericordia,15806: R do Alecrim (Impar (27->53)(->): R Ataide - R Ferragial),Lixos,CV0090,90,2,180
-9.143377778,38.70807819,361,Misericordia,15806: R do Alecrim (Impar (27->53)(->): R Ataide - R Ferragial),Papel e Cartao,CV0140,140,2,280
-9.143377778,38.70807819,362,Misericordia,15806: R do Alecrim (Impar (27->53)(->): R Ataide - R Ferragial),Papel e Cartao,CV0090,90,1,90
-9.143377778,38.70807819,363,Misericordia,15806: R do Alecrim (Impar (27->53)(->): R Ataide - R Ferragial),Papel e Cartao,CA0090,90,1,90
-9.143481807,38.70730262,371,Misericordia,15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira),Lixos,CV0240,240,1,240
-9.143481807,38.70730262,372,Misericordia,15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira),Lixos,CV0140,140,3,420
-9.143481807,38.70730262,373,Misericordia,15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira),Lixos,CV0240,240,1,240
-9.143481807,38.70730262,374,Misericordia,15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira),Lixos,CV0140,140,3,420
-9.143481807,38.70730262,375,Misericordia,15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira),Papel e Cartao,CV0240,240,1,240
-9.143481807,38.70730262,376,Misericordia,15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira),Papel e Cartao,CV0140,140,1,140
-9.142550987,38.70732868,377,Misericordia,15808: R Corpo Santo (Ambos (->)(10->26): Lg Corpo Santo - Tv Corpo Santo),Lixos,CV0140,140,2,280
-9.142550987,38.70732868,378,Misericordia,15808: R Corpo Santo (Ambos (->)(10->26): Lg Corpo Santo - Tv Corpo Santo),Lixos,CV0240,240,4,960
-9.142550987,38.70732868,379,Misericordia,15808: R Corpo Santo (Ambos (->)(10->26): Lg Corpo Santo - Tv Corpo Santo),Lixos,CV0140,140,2,280
-9.142550987,38.70732868,380,Misericordia,15808: R Corpo Santo (Ambos (->)(10->26): Lg Corpo Santo - Tv Corpo Santo),Lixos,CV0240,240,4,960
-9.142765961,38.70708361,381,Misericordia,15809: Tv Corpo Santo (Ambos (->)(->): R Corpo Santo - R Bernardino da Costa),Lixos,CV0140,140,2,280
-9.142765961,38.70708361,382,Misericordia,15809: Tv Corpo Santo (Ambos (->)(->): R Corpo Santo - R Bernardino da Costa),Lixos,CV0120,120,1,120
-9.142622569,38.70669752,383,Misericordia,15810: Tv Corpo Santo (Ambos (->)(->): R Bernardino da Costa - Cais do Sodre),Lixos,CV0240,240,4,960
